,name,id,appearance
0,Animation,16,1930
1,Comedy,35,13180
2,Family,10751,2768
3,Adventure,12,3494
4,Fantasy,14,2313
5,Romance,10749,6732
6,Drama,18,20252
7,Action,28,6591
8,Crime,80,4305
9,Thriller,53,7619
10,Horror,27,4670
11,History,36,1396
12,Science Fiction,878,3042
13,Mystery,9648,2464
14,War,10752,1321
15,Foreign,10769,1621
16,Music,10402,1598
17,Documentary,99,3917
18,Western,37,1041
19,TV Movie,10770,766
