,credit_id,gender,id,name,profile_path,movies,appearance
27,52fe4245c3a36847f80111a5,2,6111,Mike Figgis,/nIaxYZkNX6j70VQyHwzed1QxOXD.jpg,"[451, 49805, 2625, 12616, 15059, 125520, 36234, 25497, 44414, 47232, 12767, 11060, 79591, 191476]",14
28,52fe46d29251416c75084b07,2,56710,Oliver Parker,/3qdUN7qhcQn4P3tEOTKJgTUdCIr.jpg,"[16420, 24137, 9026, 10748, 49767, 18820, 23488, 37565, 58233, 332721]",10
29,52fe44dec3a36847f80aed45,1,15798,Lesli Linka Glatter,/8F13UPsRnXWTDcp8iA3ZXMtfJa3.jpg,"[9263, 32144]",2
30,52fe46ff9251416c7508a8b3,2,7017,Roger Michell,/zDjSgsAY44QJljrvzIZWnWauqlg.jpg,"[17015, 509, 1537, 59210, 9391, 13771, 38357, 83036, 87504, 209350, 310442, 413998]",12
31,52fe428ac3a36847f8026c6f,2,2419,Jean-Pierre Jeunet,/u3QmPbF9gdTTLsAHS97ic93gg6S.jpg,"[902, 892, 8078, 194, 2841, 27936, 157841, 47860, 60813]",9
32,52fe428ac3a36847f8026d19,0,13680,Marc Caro,/tUOvPzeZsFLjkclLks4xATX5PJC.jpg,"[902, 892, 15125, 60813]",4
33,52fe46559251416c910511c9,2,607,Zhang Yimou,/uU5vECl94jDQYjiRk4eOpVRMEi9.jpg,"[37557, 31439, 10404, 42006, 36210, 45861, 12276, 79, 9550, 41821, 38143, 14226, 1494, 36108, 48336, 44555, 76758, 259943, 50542, 311324]",20
34,52fe4546c3a36847f80c4e33,2,60295,John N. Smith,,"[9909, 32119, 37272, 125874]",4
35,52fe4212c3a36847f8001ac7,2,280,Terry Gilliam,/cFno5isSPvfPEkSdVoEzOs0pJCh.jpg,"[63, 762, 68, 1878, 36819, 177, 14506, 11834, 4543, 4442, 11559, 8054, 39005, 157834]",14
36,52fe49b4c3a368484e13a259,2,2352,Jean-Jacques Annaud,/sxNr4V5xESbnn6To1etsLoPj5SC.jpg,"[78802, 978, 192, 62204, 2383, 853, 10995, 42238, 1997, 77221, 10792, 77221, 309302]",13
37,52fe450fc3a36847f80b9fc7,2,58137,Chris Noonan,/srA6cz8Lis3GutJm66IIYyefQCu.jpg,"[9598, 13967]",2
38,52fe471bc3a36847f8123aa9,2,12952,Christopher Hampton,/7L7S5KHE21jFGL2IS1VXqQJxx9R.jpg,"[47018, 47199, 34036]",3
39,52fe426ac3a36847f801ceed,2,504,Tim Robbins,/7pirFsBQe93TSfzu404Hgcj1YWj.jpg,"[687, 10608, 32274]",3
40,52fe4c62c3a368484e1b5ae3,2,77867,Stephen Low,,"[139405, 45929, 15089]",3
41,52fe45309251416c9102a49d,2,17167,Andy Tennant,/9gK8xFzybwDnWENijTdDHiP4M6o.jpg,"[33689, 1968, 9454, 1439, 11529, 8488, 8676, 27573, 19754, 406992]",10
42,52fe4510c3a36847f80ba261,1,57434,Amy Heckerling,/c68tZT9Be1triBbKmSOKCS3dsBI.jpg,"[9603, 11418, 13342, 10642, 9494, 16806, 9356, 15019, 73935]",9
43,52fe456f9251416c91032375,0,16730,Darrell James Roodt,/oznevzK3stQIpJnnO70sK61TIS9.jpg,"[34615, 52855, 35936, 65137, 6934, 60119, 75033]",7
44,52fe44669251416c9100f5a3,2,33315,Richard Loncraine,/j700yY5SyI1EZegFpL4h77Otu5W.jpg,"[31174, 53185, 73116, 52083, 11823, 36730, 9754, 26820, 45371, 120212, 286521, 331214, 36464]",13
45,52fe44409251416c7502e1b1,2,11447,Albert Hughes,/cZpZYwtjYoHb90vJbycOKKH8hpg.jpg,"[11443, 9516, 24587, 768, 20504]",5
46,52fe44409251416c7502e1b7,2,11448,Allen Hughes,/mXsXXvuUSAMpWP8I2ly4mfoUWlB.jpg,"[11443, 9516, 24587, 768, 12572, 20504, 98357]",7
47,52fe45999251416c91037fdf,2,52405,Michael Hoffman,/xrMI8tNQgHws3o3Ku5cdH3ayXZx.jpg,"[35196, 7300, 10210, 25562, 31083, 17187, 62327, 80919, 29907, 36811, 97434, 239571]",12
48,52fe44e6c3a36847f80b0899,2,4014,Paul W.S. Anderson,/AeYYSi30WCkowdk04Awa0kr1E4S.jpg,"[9312, 45549, 8413, 9425, 1576, 395, 10483, 35791, 52451, 71679, 76649, 173897]",12
